GO.ID	Term	Annotated	Significant	Expected	P_value
228	GO:0046332	SMAD binding	33	15	12.38	0.09220
229	GO:0004222	metalloendopeptidase activity	234	98	87.79	0.09412
230	GO:0003774	cytoskeletal motor activity	235	121	88.16	0.09774
231	GO:0016651	oxidoreductase activity, acting on NAD(P)H	58	39	21.76	0.09895
232	GO:0000287	magnesium ion binding	167	71	62.65	0.10448
233	GO:0035091	phosphatidylinositol binding	153	60	57.4	0.10852
234	GO:0004568	chitinase activity	19	12	7.13	0.10853
235	GO:0016595	glutamate binding	14	8	5.25	0.10870
236	GO:0015643	toxic substance binding	23	12	8.63	0.10920
237	GO:0017080	sodium channel regulator activity	13	8	4.88	0.11788
238	GO:0008898	S-adenosylmethionine-homocysteine S-methyltransferase activity	12	7	4.5	0.11793
239	GO:0015271	outward rectifier potassium channel activity	19	9	7.13	0.11798
240	GO:0016597	amino acid binding	113	58	42.39	0.11845
241	GO:0051087	protein-folding chaperone binding	39	23	14.63	0.11901
242	GO:0004745	NAD-retinol dehydrogenase activity	21	11	7.88	0.11956
243	GO:0017147	Wnt-protein binding	35	17	13.13	0.12035
244	GO:0030165	PDZ domain binding	64	29	24.01	0.12342
245	GO:0030695	GTPase regulator activity	341	188	127.93	0.12638
246	GO:0032183	SUMO binding	12	7	4.5	0.12767
247	GO:0017166	vinculin binding	10	6	3.75	0.12768
248	GO:0031434	mitogen-activated protein kinase kinase binding	10	6	3.75	0.12768
249	GO:0005212	structural constituent of eye lens	10	6	3.75	0.12768
250	GO:0042169	SH2 domain binding	19	10	7.13	0.13112
251	GO:0097367	carbohydrate derivative binding	2785	1190	1044.84	0.13218
252	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	19	13	7.13	0.13730
253	GO:0070008	serine-type exopeptidase activity	19	12	7.13	0.13738
254	GO:0017069	snRNA binding	16	10	6	0.13744
255	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	51	22	19.13	0.13752
256	GO:0008409	5'-3' exonuclease activity	13	7	4.88	0.13758
257	GO:0004972	NMDA glutamate receptor activity	8	5	3	0.13759
258	GO:0008432	JUN kinase binding	8	5	3	0.13759
259	GO:0070064	proline-rich region binding	8	5	3	0.13759
260	GO:0097493	structural molecule activity conferring elasticity	8	5	3	0.13759
261	GO:0005154	epidermal growth factor receptor binding	8	5	3	0.13759
262	GO:0001055	RNA polymerase II activity	8	5	3	0.13759
263	GO:0004656	procollagen-proline 4-dioxygenase activity	8	5	3	0.13759
264	GO:0017070	U6 snRNA binding	8	5	3	0.13759
265	GO:0046961	proton-transporting ATPase activity, rotational mechanism	8	5	3	0.13759
266	GO:0004708	MAP kinase kinase activity	12	6	4.5	0.13762
267	GO:0005261	monoatomic cation channel activity	478	210	179.33	0.13832
268	GO:0045182	translation regulator activity	92	47	34.52	0.14028
269	GO:0015108	chloride transmembrane transporter activity	81	42	30.39	0.14032
270	GO:0030546	signaling receptor activator activity	109	48	40.89	0.14050
271	GO:0015377	chloride:monoatomic cation symporter activity	17	10	6.38	0.14064
272	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	10	7	3.75	0.14066
273	GO:0000293	ferric-chelate reductase activity	3	3	1.13	0.14071
274	GO:0019776	Atg8-family ligase activity	2	2	0.75	0.14074
275	GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	2	2	0.75	0.14074
276	GO:0050733	RS domain binding	2	2	0.75	0.14074
277	GO:0031073	cholesterol 26-hydroxylase activity	2	2	0.75	0.14074
278	GO:0008670	2,4-dienoyl-CoA reductase (NADPH) activity	2	2	0.75	0.14074
279	GO:0016509	long-chain-3-hydroxyacyl-CoA dehydrogenase activity	2	2	0.75	0.14074
280	GO:0004450	isocitrate dehydrogenase (NADP+) activity	2	2	0.75	0.14074
281	GO:0004451	isocitrate lyase activity	2	2	0.75	0.14074
282	GO:0004414	homoserine O-acetyltransferase activity	2	2	0.75	0.14074
283	GO:0032500	muramyl dipeptide binding	2	2	0.75	0.14074
284	GO:0050833	pyruvate transmembrane transporter activity	2	2	0.75	0.14074
285	GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity	2	2	0.75	0.14074
286	GO:0000234	phosphoethanolamine N-methyltransferase activity	2	2	0.75	0.14074
287	GO:0047749	cholestanetriol 26-monooxygenase activity	2	2	0.75	0.14074
288	GO:0009882	blue light photoreceptor activity	2	2	0.75	0.14074
289	GO:0003994	aconitate hydratase activity	2	2	0.75	0.14074
290	GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	2	2	0.75	0.14074
291	GO:0004122	cystathionine beta-synthase activity	2	2	0.75	0.14074
292	GO:0009034	tryptophanase activity	2	2	0.75	0.14074
293	GO:0003953	NAD+ nucleosidase activity	2	2	0.75	0.14074
294	GO:0047865	dimethylglycine dehydrogenase activity	2	2	0.75	0.14074
295	GO:0031681	G-protein beta-subunit binding	2	2	0.75	0.14074
296	GO:0004145	diamine N-acetyltransferase activity	2	2	0.75	0.14074
297	GO:0030156	benzodiazepine receptor binding	2	2	0.75	0.14074
298	GO:0035014	phosphatidylinositol 3-kinase regulator activity	2	2	0.75	0.14074
299	GO:0030171	voltage-gated proton channel activity	2	2	0.75	0.14074
300	GO:0003904	deoxyribodipyrimidine photo-lyase activity	2	2	0.75	0.14074
301	GO:0008475	procollagen-lysine 5-dioxygenase activity	2	2	0.75	0.14074
302	GO:0070700	BMP receptor binding	2	2	0.75	0.14074
303	GO:0030235	nitric-oxide synthase regulator activity	2	2	0.75	0.14074
304	GO:0052856	NADHX epimerase activity	2	2	0.75	0.14074
305	GO:0008121	ubiquinol-cytochrome-c reductase activity	2	2	0.75	0.14074
306	GO:0017188	aspartate N-acetyltransferase activity	2	2	0.75	0.14074
307	GO:0035613	RNA stem-loop binding	2	2	0.75	0.14074
308	GO:0033961	cis-stilbene-oxide hydrolase activity	2	2	0.75	0.14074
309	GO:0033980	phosphonopyruvate decarboxylase activity	2	2	0.75	0.14074
310	GO:0008294	calcium- and calmodulin-responsive adenylate cyclase activity	2	2	0.75	0.14074
311	GO:0032407	MutSalpha complex binding	2	2	0.75	0.14074
312	GO:0008251	tRNA-specific adenosine deaminase activity	2	2	0.75	0.14074
313	GO:0042301	phosphate ion binding	2	2	0.75	0.14074
314	GO:0043423	3-phosphoinositide-dependent protein kinase binding	2	2	0.75	0.14074
315	GO:0036312	phosphatidylinositol 3-kinase regulatory subunit binding	2	2	0.75	0.14074
316	GO:0005168	neurotrophin TRKA receptor binding	2	2	0.75	0.14074
317	GO:0031409	pigment binding	2	2	0.75	0.14074
318	GO:0008240	tripeptidyl-peptidase activity	2	2	0.75	0.14074
319	GO:0005159	insulin-like growth factor receptor binding	2	2	0.75	0.14074
