GO.ID	Term	Annotated	Significant	Expected	P_value
378	GO:0005614	interstitial matrix	14	0	0.11	1.00000
379	GO:0005618	cell wall	38	0	0.31	1.00000
380	GO:0005637	nuclear inner membrane	21	0	0.17	1.00000
381	GO:0005638	lamin filament	1	0	0.01	1.00000
382	GO:0005640	nuclear outer membrane	7	0	0.06	1.00000
383	GO:0005641	nuclear envelope lumen	18	0	0.15	1.00000
384	GO:0005642	annulate lamellae	1	0	0.01	1.00000
385	GO:0005652	nuclear lamina	3	0	0.02	1.00000
386	GO:0005655	nucleolar ribonuclease P complex	3	0	0.02	1.00000
387	GO:0005657	replication fork	54	0	0.44	1.00000
388	GO:0005658	alpha DNA polymerase:primase complex	3	0	0.02	1.00000
389	GO:0005662	DNA replication factor A complex	9	0	0.07	1.00000
390	GO:0005663	DNA replication factor C complex	5	0	0.04	1.00000
391	GO:0005664	nuclear origin of replication recognition complex	7	0	0.06	1.00000
392	GO:0005665	RNA polymerase II, core complex	13	0	0.11	1.00000
393	GO:0005666	RNA polymerase III complex	14	0	0.11	1.00000
394	GO:0005669	transcription factor TFIID complex	20	0	0.16	1.00000
395	GO:0005672	transcription factor TFIIA complex	2	0	0.02	1.00000
396	GO:0005673	transcription factor TFIIE complex	1	0	0.01	1.00000
397	GO:0005674	transcription factor TFIIF complex	1	0	0.01	1.00000
398	GO:0005675	transcription factor TFIIH holo complex	9	0	0.07	1.00000
399	GO:0005677	chromatin silencing complex	4	0	0.03	1.00000
400	GO:0005680	anaphase-promoting complex	21	0	0.17	1.00000
401	GO:0005682	U5 snRNP	6	0	0.05	1.00000
402	GO:0005683	U7 snRNP	4	0	0.03	1.00000
403	GO:0005684	U2-type spliceosomal complex	1	0	0.01	1.00000
404	GO:0005685	U1 snRNP	12	0	0.1	1.00000
405	GO:0005686	U2 snRNP	3	0	0.02	1.00000
406	GO:0005687	U4 snRNP	8	0	0.07	1.00000
407	GO:0005688	U6 snRNP	1	0	0.01	1.00000
408	GO:0005697	telomerase holoenzyme complex	4	0	0.03	1.00000
409	GO:0005700	polytene chromosome	9	0	0.07	1.00000
410	GO:0005701	polytene chromosome chromocenter	3	0	0.02	1.00000
411	GO:0005703	polytene chromosome puff	4	0	0.03	1.00000
412	GO:0005704	polytene chromosome band	2	0	0.02	1.00000
413	GO:0005712	chiasma	2	0	0.02	1.00000
414	GO:0005721	pericentric heterochromatin	14	0	0.11	1.00000
415	GO:0005726	perichromatin fibrils	4	0	0.03	1.00000
416	GO:0005727	extrachromosomal circular DNA	5	0	0.04	1.00000
417	GO:0005731	nucleolus organizer region	2	0	0.02	1.00000
418	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	14	0	0.11	1.00000
419	GO:0005736	RNA polymerase I complex	11	0	0.09	1.00000
420	GO:0005742	mitochondrial outer membrane translocase complex	3	0	0.02	1.00000
421	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	7	0	0.06	1.00000
422	GO:0005747	mitochondrial respiratory chain complex I	22	0	0.18	1.00000
423	GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	4	0	0.03	1.00000
424	GO:0005750	mitochondrial respiratory chain complex III	2	0	0.02	1.00000
425	GO:0005751	mitochondrial respiratory chain complex IV	3	0	0.02	1.00000
426	GO:0005753	mitochondrial proton-transporting ATP synthase complex	10	0	0.08	1.00000
427	GO:0005757	mitochondrial permeability transition pore complex	1	0	0.01	1.00000
428	GO:0005760	gamma DNA polymerase complex	3	0	0.02	1.00000
429	GO:0005761	mitochondrial ribosome	30	0	0.25	1.00000
430	GO:0005762	mitochondrial large ribosomal subunit	11	0	0.09	1.00000
431	GO:0005763	mitochondrial small ribosomal subunit	13	0	0.11	1.00000
432	GO:0005766	primary lysosome	1	0	0.01	1.00000
433	GO:0005767	secondary lysosome	1	0	0.01	1.00000
434	GO:0005770	late endosome	141	0	1.16	1.00000
435	GO:0005771	multivesicular body	22	0	0.18	1.00000
436	GO:0005776	autophagosome	37	0	0.3	1.00000
